Date,2YO,3YO,4YO,5YO
2018-05-10,97818.461338133,81870.58588018872,,
2018-05-11,,,64379.81319895499,
2018-05-12,,,,48621.87471153638
2018-05-13,,,65842.23979336125,48610.72092663153
2018-05-14,,75020.88507149514,,
2018-05-15,,81468.95562448936,,
2018-05-16,97707.38079686476,,64254.054996314095,48856.16957623571
2018-05-18,,78097.84053577844,65861.48402186521,48872.10072035574
2018-05-21,97528.19590682744,75600.83613959127,64069.11646301867,48714.11678425266
2018-05-22,,78275.74970462169,65714.60751207951,
2018-05-23,,,,49127.03137548297
2018-05-25,,78152.48099329887,,48605.27113844747
2018-05-26,97260.47536339024,,64009.936132364135,
2018-05-27,,,65483.39017835172,
2018-05-28,,77517.2574423445,,49552.67452288291
2018-05-29,,78382.27952287963,,48459.52866355574
2018-05-31,96942.73334999503,78027.00903643093,64611.78350206576,
2018-06-01,,79349.9423624551,,
2018-06-02,,,,48271.35483521456
2018-06-03,,79345.86429187185,63564.77820398478,49674.73395485789
2018-06-04,,80345.39939182537,65363.99539368496,
2018-06-05,,77551.752002033,,
2018-06-06,96407.22181034608,80236.92271431103,,
2018-06-07,,,,49008.80750635658
2018-06-08,,81126.13629529587,63730.94314499275,
2018-06-10,96121.2539982904,77779.22639798636,63126.45833902141,
2018-06-11,,,64215.48096065171,48042.59449487821
2018-06-12,95280.40013357386,81615.77398855981,,
2018-06-13,,,,50003.79476269688
2018-06-15,,78810.77243925641,63616.37543633298,48190.18181122425
2018-06-16,,81614.18910203766,,
2018-06-17,95113.7793216715,,,
2018-06-18,,,,49986.66361434951
2018-06-19,94276.80035955734,,,
2018-06-20,,80591.74126609183,63486.913782264295,48389.50854472113
2018-06-23,93861.04610386664,,,49986.66361434951
2018-06-24,,80656.56155717373,63961.11645710078,48600.82674767113
2018-06-25,,,62458.683457211184,
2018-06-27,92977.11243962952,,,
2018-06-28,,79871.02915920317,63642.57383265393,50098.35198347694
2018-06-29,,80659.24365483943,,48926.60897721906
2018-06-30,,,62182.27373824139,
2018-07-01,92523.9767705982,79268.38095079019,,
2018-07-02,,78432.37648122484,,
2018-07-03,,,,49803.234190488845
2018-07-04,91801.51257715674,82836.6788218387,,
2018-07-05,,,62106.30216297654,
2018-07-06,,78035.10443857365,,
2018-07-07,,77347.43978647386,,49461.94842469238
2018-07-09,91402.4837180583,82787.36187962655,,50362.78749362058
2018-07-10,,,62439.191522908295,
2018-07-11,,77227.39930729808,,
2018-07-12,,,63466.71012819886,49655.65677739655
2018-07-13,,,,50312.15543294947
2018-07-14,90927.12319173595,82420.96600895654,,
2018-07-15,,,62920.03170947642,
2018-07-16,,77488.02509093643,63231.75070129383,49793.013609314046
2018-07-17,,81731.68921662724,,
2018-07-18,,,,50536.89978388752
2018-07-19,90572.04120780874,,,
2018-07-20,,78121.62750278151,63450.18883825664,49899.77332642942
2018-07-21,,,62931.31649657093,
2018-07-22,,81338.50057020923,,
2018-07-24,90184.90321144366,79248.65858288732,,50654.77839989678
2018-07-25,,,63289.79111703444,49979.6780219199
2018-07-27,,79434.41668167949,,
2018-07-28,,80193.58081892942,,50722.03401933459
2018-07-29,89756.08065678022,,62419.443948436165,49979.6780219199
2018-07-30,,80720.27117534429,64187.47712432775,
2018-08-01,,80162.41857953313,,
2018-08-02,,,,49990.74707064584
2018-08-03,89266.0669318542,81616.55664857072,62163.9334070121,50999.30482777159
2018-08-04,,,64209.6697483232,
2018-08-06,88293.43408780171,80730.90382240793,,
2018-08-07,,,62047.70839538959,50645.38499557768
2018-08-09,88340.44957271058,,63985.524245969136,
2018-08-10,,80848.77803769046,,
2018-08-11,86935.69540822659,,62047.70839538959,50134.64470408323
2018-08-13,,,,51559.87407091595
2018-08-14,86226.69020311208,,63415.91356341922,
2018-08-15,,82635.38431779356,,
2018-08-16,,78870.18761249291,62183.30424228253,50145.21061423073
2018-08-17,85682.26638747763,,,
